ID	B1	B2	B3	val
1237	187	97	116	3
1238	187	90	116	3
1239	199	97	116	3
1240	218	90	116	3
1241	218	112	127	3
1242	243	105	116	3
1243	231	97	127	3
1244	218	105	127	3
1245	212	90	116	3
1246	199	97	116	3
1247	206	90	116	3
1248	212	97	116	3
1249	212	112	127	3
1250	206	120	139	3
1251	199	135	139	3
1252	199	143	162	3
1253	199	143	162	3
1254	199	135	151	3
1255	193	127	151	3
1256	187	112	139	3
1257	168	97	116	3
1258	162	90	104	3
1259	156	82	104	3
1260	156	67	104	3
1261	137	82	104	3
1262	131	82	104	3
1263	124	75	104	3
1264	131	82	104	3
1265	137	90	104	3
1266	156	90	104	3
1267	162	90	104	3
1268	168	90	104	3
1269	174	105	116	3
1270	174	90	116	3
1271	162	90	116	3
1272	156	82	104	3
1273	156	75	104	3
1274	149	90	116	3
1275	143	75	104	3
1276	131	82	93	3
1277	137	82	104	3
1278	143	82	104	3
1279	149	97	104	3
1280	156	90	104	3
1281	168	97	127	3
1282	168	90	116	3
1283	174	82	104	3
1284	181	90	104	3
1285	168	82	104	3
1286	156	82	104	3
1287	143	82	104	3
1288	156	82	104	3
1289	156	90	104	3
1290	149	75	104	3
1291	149	82	93	3
1292	162	82	104	3
1293	156	82	104	3
1294	156	90	104	3
1295	162	82	104	3
1296	162	90	104	3
1297	168	82	104	3
1298	174	82	104	3
1299	174	90	104	3
1300	174	82	104	3
1301	181	90	104	3
1302	174	90	104	3
1303	168	90	104	3
1304	162	90	104	3
1305	168	97	104	3
1306	174	105	93	3
1307	206	127	116	3
1308	231	135	139	3
1309	237	135	139	3
1310	243	143	139	3
1311	237	135	139	3
1312	231	120	139	3
1313	237	112	127	3
1314	243	127	139	3
1315	249	127	139	3
1316	243	135	151	3
1317	231	127	139	3
1318	231	120	127	3
1319	218	120	139	3
1320	206	105	116	3
1321	193	105	116	3
1322	193	90	104	3
1323	187	82	104	3
1324	193	90	104	3
1325	193	82	104	3
1326	193	90	104	3
1327	199	97	116	3
1328	206	105	116	3
1329	218	97	116	3
1330	218	82	116	3
1331	218	97	116	3
1332	218	90	116	3
1333	212	90	116	3
1334	206	97	116	3
1335	193	90	104	3
1336	181	97	116	3
1337	174	90	104	3
1338	174	90	104	3
1339	174	90	104	3
1340	181	90	104	3
1341	187	105	104	3
1342	199	97	104	3
1343	199	97	116	3
1344	212	105	127	3
1345	212	97	127	3
1346	206	105	127	3
1347	199	97	116	3
1348	193	97	116	3
1349	199	97	116	3
1350	212	90	116	3
1351	218	105	127	3
1352	224	97	116	3
1353	218	97	116	3
1354	206	97	116	3
1355	206	90	116	3
1356	206	90	116	3
1357	212	90	104	3
