ID	B1	B2	B3	val
971	181	218	255	2
972	187	218	255	2
973	187	225	255	2
974	187	225	244	2
975	187	233	244	2
976	187	218	232	2
977	181	210	232	2
978	193	225	244	2
979	193	240	255	2
980	193	225	255	2
981	193	233	255	2
982	212	240	255	2
983	218	240	255	2
984	224	248	255	2
985	231	255	255	2
986	237	248	255	2
987	218	233	244	2
988	212	218	244	2
989	212	203	232	2
990	206	195	221	2
991	187	203	221	2
992	199	195	221	2
993	206	188	209	2
994	218	195	197	2
995	224	218	232	2
996	224	225	232	2
997	218	225	232	2
998	212	210	232	2
999	212	210	221	2
1000	218	225	255	2
1001	224	255	255	2
1002	224	255	255	2
1003	218	255	255	2
1004	212	255	244	2
1005	212	255	244	2
1006	206	248	244	2
1007	199	248	255	2
1008	199	248	255	2
1009	193	240	244	2
1010	193	233	244	2
1011	187	233	232	2
1012	187	240	232	2
1013	187	233	244	2
1014	193	240	244	2
1015	193	233	244	2
1016	193	240	244	2
1017	193	240	232	2
1018	193	240	244	2
1019	193	240	232	2
1020	193	233	244	2
1021	187	225	244	2
1022	199	225	232	2
1023	218	218	244	2
1024	237	180	209	2
1025	243	173	197	2
1026	218	188	209	2
1027	206	225	232	2
1028	193	240	255	2
1029	199	248	255	2
1030	199	240	255	2
1031	199	240	244	2
1032	193	240	232	2
1033	193	233	232	2
1034	199	233	232	2
1035	193	225	232	2
1036	193	225	232	2
1037	193	225	232	2
1038	193	218	232	2
1039	193	210	232	2
1040	193	210	232	2
1041	193	210	232	2
1042	193	218	232	2
1043	187	225	232	2
1044	193	240	244	2
1045	193	240	255	2
1046	199	233	244	2
1047	199	218	232	2
1048	206	218	221	2
1049	224	203	221	2
1050	224	195	221	2
1051	231	195	209	2
1052	237	225	221	2
1053	218	210	255	2
1054	224	180	221	2
1055	231	180	197	2
1056	231	210	221	2
1057	237	210	232	2
1058	224	195	232	2
1059	218	195	232	2
1060	181	225	244	2
1061	181	225	244	2
1062	181	225	232	2
1063	187	240	255	2
1064	193	255	255	2
1065	199	255	255	2
1066	206	255	255	2
1067	206	255	255	2
1068	193	255	255	2
1069	187	240	255	2
1070	187	240	255	2
1071	181	248	255	2
1072	181	240	255	2
1073	187	240	255	2
1074	187	233	244	2
1075	193	233	244	2
1076	199	240	244	2
1077	199	240	244	2
1078	187	218	244	2
1079	193	225	244	2
1080	199	240	255	2
1081	193	248	255	2
1082	199	248	255	2
1083	206	240	255	2
1084	206	240	255	2
1085	212	240	255	2
1086	212	248	255	2
1087	218	240	244	2
1088	212	233	244	2
1089	212	210	244	2
1090	212	195	232	2
1091	206	203	232	2
1092	193	195	232	2
1093	199	188	232	2
1094	212	188	209	2
1095	218	210	209	2
1096	218	240	244	2
1097	218	248	244	2
1098	212	225	244	2
1099	206	218	232	2
1100	206	218	221	2
1101	212	233	244	2
1102	218	255	244	2
1103	218	255	255	2
1104	212	255	255	2
1105	212	255	244	2
1106	206	255	244	2
1107	206	240	244	2
1108	199	240	244	2
1109	193	240	244	2
1110	187	233	244	2
1111	187	233	244	2
1112	187	233	232	2
1113	187	233	244	2
1114	187	233	244	2
1115	187	233	232	2
1116	187	233	244	2
1117	187	233	244	2
1118	187	233	244	2
1119	193	233	244	2
1120	193	233	232	2
1121	199	225	244	2
1122	193	225	232	2
1123	199	225	232	2
1124	224	210	232	2
1125	243	173	209	2
1126	237	173	186	2
1127	218	203	209	2
1128	199	233	221	2
1129	193	240	232	2
1130	193	248	244	2
1131	193	240	244	2
1132	193	233	232	2
1133	193	233	232	2
1134	193	225	232	2
1135	193	233	232	2
1136	187	225	244	2
1137	187	225	232	2
1138	187	233	232	2
1139	187	225	232	2
1140	187	225	232	2
1141	187	225	244	2
1142	181	225	244	2
1143	181	225	232	2
1144	181	225	232	2
1145	187	233	232	2
1146	193	233	232	2
1147	199	233	232	2
1148	199	240	232	2
1149	212	233	244	2
1150	224	210	221	2
1151	237	195	221	2
1152	249	195	209	2
1153	243	210	221	2
1154	231	203	255	2
1155	218	173	209	2
1156	218	188	209	2
1157	224	225	232	2
1158	224	240	244	2
1159	218	210	255	2
1160	212	210	232	2
1161	181	233	244	2
1162	181	233	244	2
1163	181	233	244	2
1164	187	248	255	2
1165	193	248	244	2
1166	193	255	255	2
1167	199	255	255	2
1168	199	255	255	2
1169	193	240	255	2
1170	193	240	255	2
1171	193	233	255	2
1172	187	233	255	2
1173	187	240	255	2
1174	199	240	255	2
1175	206	233	255	2
